image_path,filename,raw_class,class_name,label,split
data\raw\bloodcells_dataset\basophil\BA_100102.jpg,BA_100102.jpg,basophil,basophil,0,train
data\raw\bloodcells_dataset\basophil\BA_101611.jpg,BA_101611.jpg,basophil,basophil,0,train
data\raw\bloodcells_dataset\basophil\BA_102039.jpg,BA_102039.jpg,basophil,basophil,0,train
data\raw\bloodcells_dataset\basophil\BA_102750.jpg,BA_102750.jpg,basophil,basophil,0,train
data\raw\bloodcells_dataset\basophil\BA_10387.jpg,BA_10387.jpg,basophil,basophil,0,train
data\raw\bloodcells_dataset\basophil\BA_10622.jpg,BA_10622.jpg,basophil,basophil,0,train
data\raw\bloodcells_dataset\basophil\BA_107595.jpg,BA_107595.jpg,basophil,basophil,0,train
data\raw\bloodcells_dataset\basophil\BA_111710.jpg,BA_111710.jpg,basophil,basophil,0,train
data\raw\bloodcells_dataset\basophil\BA_112418.jpg,BA_112418.jpg,basophil,basophil,0,train
data\raw\bloodcells_dataset\basophil\BA_114542.jpg,BA_114542.jpg,basophil,basophil,0,train
data\raw\bloodcells_dataset\basophil\BA_114899.jpg,BA_114899.jpg,basophil,basophil,0,train
data\raw\bloodcells_dataset\basophil\BA_116477.jpg,BA_116477.jpg,basophil,basophil,0,train
data\raw\bloodcells_dataset\basophil\BA_119131.jpg,BA_119131.jpg,basophil,basophil,0,train
data\raw\bloodcells_dataset\basophil\BA_119883.jpg,BA_119883.jpg,basophil,basophil,0,train
data\raw\bloodcells_dataset\basophil\BA_120278.jpg,BA_120278.jpg,basophil,basophil,0,train
data\raw\bloodcells_dataset\basophil\BA_120688.jpg,BA_120688.jpg,basophil,basophil,0,train
data\raw\bloodcells_dataset\basophil\BA_1223.jpg,BA_1223.jpg,basophil,basophil,0,train
data\raw\bloodcells_dataset\basophil\BA_124389.jpg,BA_124389.jpg,basophil,basophil,0,train
data\raw\bloodcells_dataset\basophil\BA_124620.jpg,BA_124620.jpg,basophil,basophil,0,train
data\raw\bloodcells_dataset\basophil\BA_124938.jpg,BA_124938.jpg,basophil,basophil,0,train
data\raw\bloodcells_dataset\basophil\BA_126411.jpg,BA_126411.jpg,basophil,basophil,0,train
data\raw\bloodcells_dataset\basophil\BA_126839.jpg,BA_126839.jpg,basophil,basophil,0,train
data\raw\bloodcells_dataset\basophil\BA_127306.jpg,BA_127306.jpg,basophil,basophil,0,train
data\raw\bloodcells_dataset\basophil\BA_127671.jpg,BA_127671.jpg,basophil,basophil,0,train
data\raw\bloodcells_dataset\basophil\BA_127868.jpg,BA_127868.jpg,basophil,basophil,0,train
data\raw\bloodcells_dataset\basophil\BA_128423.jpg,BA_128423.jpg,basophil,basophil,0,train
data\raw\bloodcells_dataset\basophil\BA_129641.jpg,BA_129641.jpg,basophil,basophil,0,train
data\raw\bloodcells_dataset\basophil\BA_130694.jpg,BA_130694.jpg,basophil,basophil,0,train
data\raw\bloodcells_dataset\basophil\BA_130831.jpg,BA_130831.jpg,basophil,basophil,0,train
data\raw\bloodcells_dataset\basophil\BA_131174.jpg,BA_131174.jpg,basophil,basophil,0,train
data\raw\bloodcells_dataset\basophil\BA_136209.jpg,BA_136209.jpg,basophil,basophil,0,train
data\raw\bloodcells_dataset\basophil\BA_139275.jpg,BA_139275.jpg,basophil,basophil,0,train
data\raw\bloodcells_dataset\basophil\BA_139552.jpg,BA_139552.jpg,basophil,basophil,0,train
data\raw\bloodcells_dataset\basophil\BA_139733.jpg,BA_139733.jpg,basophil,basophil,0,train
data\raw\bloodcells_dataset\basophil\BA_141630.jpg,BA_141630.jpg,basophil,basophil,0,train
data\raw\bloodcells_dataset\basophil\BA_141631.jpg,BA_141631.jpg,basophil,basophil,0,train
