feature_set,model,accuracy,precision_macro,recall_macro,f1_macro,f1_weighted,top2_accuracy,roc_auc_macro
combined_all_traditional,SVM_RBF,0.9409,0.9351,0.9416,0.938,0.941,0.9877,0.9969
combined_all_traditional,SVM_Linear,0.9327,0.9302,0.9274,0.9286,0.9327,0.986,0.9953
combined_all_traditional,LogisticRegression,0.9307,0.9218,0.9319,0.9262,0.9307,0.9807,0.9956
combined_all_traditional,RandomForest,0.9219,0.9213,0.9118,0.9157,0.9222,0.9769,0.9944
combined_all_traditional,KNN,0.8891,0.8923,0.8767,0.8831,0.8887,0.9573,0.9759
combined_all_traditional,GaussianNB,0.8163,0.801,0.8302,0.8069,0.8098,0.9163,0.9673
orb_bovw,SVM_RBF,0.7646,0.7537,0.7679,0.7587,0.7659,0.9234,0.9644
orb_bovw_morphology,SVM_RBF,0.7567,0.7449,0.762,0.7507,0.7583,0.9213,0.9636
orb_bovw_morphology,LogisticRegression,0.7265,0.712,0.7379,0.7194,0.7286,0.8982,0.9541
orb_bovw,LogisticRegression,0.7268,0.7116,0.7383,0.7194,0.7287,0.9003,0.9542
combined_harris_fast_orb,SVM_RBF,0.7172,0.7152,0.7259,0.7174,0.7196,0.9006,0.9557
combined_harris_fast_orb,RandomForest,0.7116,0.7307,0.6956,0.7092,0.7111,0.8751,0.946
orb_bovw,SVM_Linear,0.7242,0.727,0.6995,0.7092,0.7213,0.8856,0.9477
orb_bovw_morphology,SVM_Linear,0.7224,0.7258,0.6981,0.7074,0.7192,0.8862,0.9476
combined_harris_fast_orb,LogisticRegression,0.6888,0.6822,0.701,0.6892,0.6901,0.8772,0.9445
combined_harris_fast_orb,SVM_Linear,0.6958,0.717,0.6697,0.6853,0.6918,0.8742,0.9429
orb_bovw,GaussianNB,0.6777,0.6651,0.675,0.6648,0.6788,0.8698,0.9329
orb_bovw,RandomForest,0.6829,0.7464,0.6279,0.6421,0.6682,0.8614,0.9384
orb_bovw_morphology,RandomForest,0.6806,0.7375,0.6196,0.6313,0.6624,0.8637,0.9392
orb_bovw,KNN,0.6449,0.6674,0.6099,0.625,0.6392,0.8075,0.8794
orb_bovw_morphology,KNN,0.6452,0.6661,0.6101,0.6249,0.6396,0.8073,0.8796
orb_stats_only,RandomForest,0.6277,0.6321,0.6025,0.6059,0.6172,0.8169,0.9054
orb_stats_only,SVM_RBF,0.6019,0.5915,0.604,0.5956,0.6026,0.8233,0.9102
orb_stats_only,LogisticRegression,0.5896,0.5756,0.5947,0.5789,0.588,0.7827,0.8948
fast_only,RandomForest,0.5891,0.6007,0.568,0.5782,0.584,0.8116,0.9083
fast_only,SVM_RBF,0.5788,0.5708,0.6023,0.5761,0.5769,0.823,0.9143
fast_morphology,RandomForest,0.5844,0.5961,0.5655,0.5754,0.5801,0.809,0.9063
fast_morphology,SVM_RBF,0.5739,0.5667,0.5997,0.571,0.5717,0.8219,0.9136
orb_stats_only,SVM_Linear,0.5949,0.6047,0.5562,0.5596,0.5781,0.7953,0.8912
combined_harris_fast_orb,KNN,0.5765,0.5976,0.5439,0.5567,0.5713,0.7657,0.853
fast_morphology,LogisticRegression,0.5271,0.5197,0.5561,0.5235,0.5247,0.7806,0.892
fast_only,LogisticRegression,0.5271,0.5194,0.5561,0.5235,0.5245,0.7786,0.8912
harris_only,SVM_RBF,0.5197,0.5205,0.5548,0.5175,0.5153,0.7932,0.8924
harris_only,RandomForest,0.5434,0.5455,0.505,0.5137,0.5334,0.783,0.8867
harris_morphology,SVM_RBF,0.5113,0.5138,0.5474,0.5079,0.506,0.7897,0.8916
harris_morphology,RandomForest,0.5393,0.536,0.498,0.5061,0.5287,0.7888,0.8871
orb_stats_only,KNN,0.5042,0.5179,0.4833,0.4923,0.5024,0.6914,0.8063
harris_morphology,LogisticRegression,0.4735,0.4729,0.5032,0.4692,0.4718,0.7502,0.8702
fast_only,SVM_Linear,0.5192,0.5206,0.4758,0.4684,0.4948,0.7605,0.8772
fast_morphology,SVM_Linear,0.5241,0.5262,0.4773,0.467,0.4962,0.7581,0.8785
harris_only,LogisticRegression,0.4703,0.4692,0.501,0.4659,0.4679,0.7473,0.8693
fast_morphology,KNN,0.4621,0.4747,0.4337,0.4462,0.4597,0.6979,0.8015
fast_only,KNN,0.4604,0.4732,0.432,0.4444,0.4578,0.6958,0.8004
harris_morphology,KNN,0.4396,0.4428,0.4079,0.4154,0.4345,0.6666,0.784
harris_only,KNN,0.4393,0.4429,0.4079,0.4153,0.4343,0.6657,0.7843
harris_only,SVM_Linear,0.4686,0.431,0.4058,0.3963,0.4383,0.7306,0.8553
harris_morphology,SVM_Linear,0.4697,0.4205,0.4019,0.3883,0.4342,0.7268,0.8551
combined_harris_fast_orb,GaussianNB,0.4051,0.4626,0.4568,0.3647,0.3457,0.5525,
fast_only,GaussianNB,0.3598,0.4491,0.4196,0.3276,0.3102,0.5636,0.8368
orb_stats_only,GaussianNB,0.3963,0.3556,0.4067,0.3148,0.3119,0.5367,0.8373
harris_only,GaussianNB,0.3352,0.3814,0.3679,0.2986,0.2948,0.5224,0.7978
orb_bovw_morphology,GaussianNB,0.3334,0.4845,0.356,0.2454,0.2593,0.5142,0.8478
fast_morphology,GaussianNB,0.2278,0.3116,0.2654,0.1503,0.1386,0.4279,0.7427
harris_morphology,GaussianNB,0.2004,0.3318,0.2315,0.1143,0.1128,0.3846,0.7086
